10 
11 
12 
13 
14 
15 
16 
17 
18 
10 11 
10 12 
10 13 
10 14 
10 15 
10 16 
10 17 
10 18 
11 12 
11 13 
11 14 
11 15 
11 16 
11 17 
11 18 
12 13 
12 14 
12 15 
12 16 
12 17 
12 18 
13 14 
13 15 
13 16 
13 17 
13 18 
14 15 
14 16 
14 17 
14 18 
15 16 
15 17 
15 18 
16 17 
16 18 
17 18 
10 11 12 15 17 
10 11 12 15 18 
10 11 12 16 17 
10 11 12 16 18 
10 11 12 17 18 
10 11 13 14 15 
10 11 13 14 16 
10 11 13 14 17 
10 11 13 14 18 
10 11 13 15 16 
10 11 13 15 17 
10 11 13 15 18 
10 11 13 16 17 
10 11 13 16 18 
10 11 13 17 18 
10 11 14 15 16 
10 11 14 15 17 
10 11 14 15 18 
10 11 14 16 17 
10 11 14 16 18 
10 11 14 17 18 
10 11 15 16 17 
10 11 15 16 18 
10 11 15 17 18 
10 11 16 17 18 
10 12 13 14 15 
10 12 13 14 16 
10 12 13 14 17 
10 12 13 14 18 
10 12 13 15 16 
10 12 13 15 17 
10 12 13 15 18 
10 12 13 16 17 
10 12 13 16 18 
10 12 13 17 18 
10 12 14 15 16 
10 12 14 15 17 
10 12 14 15 18 
10 12 14 16 17 
10 12 14 16 18 
10 12 14 17 18 
10 12 15 16 17 
10 12 15 16 18 
10 12 15 17 18 
10 12 16 17 18 
10 13 14 15 16 
10 13 14 15 17 
10 13 14 15 18 
10 13 14 16 17 
10 13 14 16 18 
10 13 14 17 18 
10 13 15 16 17 
10 13 15 16 18 
10 13 15 17 18 
10 13 16 17 18 
10 14 15 16 17 
10 14 15 16 18 
10 14 15 17 18 
10 14 16 17 18 
10 15 16 17 18 
11 12 13 14 15 
11 12 13 14 16 
11 12 13 14 17 
11 12 13 14 18 
11 12 13 15 16 
11 12 13 15 17 
11 12 13 15 18 
11 12 13 16 17 
11 12 13 16 18 
11 12 13 17 18 
11 12 14 15 16 
11 12 14 15 17 
11 12 14 15 18 
11 12 14 16 17 
11 12 14 16 18 
11 12 14 17 18 
11 12 15 16 17 
11 12 15 16 18 
11 12 15 17 18 
11 12 16 17 18 
11 13 14 15 16 
11 13 14 15 17 
11 13 14 15 18 
11 13 14 16 17 
11 13 14 16 18 
11 13 14 17 18 
11 13 15 16 17 
11 13 15 16 18 
11 13 15 17 18 
11 13 16 17 18 
11 14 15 16 17 
11 14 15 16 18 
11 14 15 17 18 
11 14 16 17 18 
11 15 16 17 18 
12 13 14 15 16 
12 13 14 15 17 
12 13 14 15 18 
12 13 14 16 17 
12 13 14 16 18 
12 13 14 17 18 
12 13 15 16 17 
12 13 15 16 18 
12 13 15 17 18 
12 13 16 17 18 
12 14 15 16 17 
12 14 15 16 18 
12 14 15 17 18 
12 14 16 17 18 
12 15 16 17 18 
13 14 15 16 17 
13 14 15 16 18 
13 14 15 17 18 
13 14 16 17 18 
13 15 16 17 18 
14 15 16 17 18 
10 11 12 13 14 15 
10 11 12 13 14 16 
10 11 12 13 14 17 
10 11 12 13 14 18 
10 11 12 13 15 16 
10 11 12 13 15 17 
10 11 12 13 15 18 
10 11 12 13 16 17 
10 11 12 13 16 18 
10 11 12 13 17 18 
10 11 12 14 15 16 
10 11 12 14 15 17 
10 11 12 14 15 18 
10 11 12 14 16 17 
10 11 12 14 16 18 
10 11 12 14 17 18 
10 11 12 15 16 17 
10 11 12 15 16 18 
10 11 12 15 17 18 
10 11 12 16 17 18 
10 11 13 14 15 16 
10 11 13 14 15 17 
10 11 13 14 15 18 
10 11 13 14 16 17 
10 11 13 14 16 18 
10 11 13 14 17 18 
10 11 13 15 16 17 
10 11 13 15 16 18 
10 11 13 15 17 18 
10 11 13 16 17 18 
10 11 14 15 16 17 
10 11 14 15 16 18 
10 11 14 15 17 18 
10 11 14 16 17 18 
10 11 15 16 17 18 
10 12 13 14 15 16 
10 12 13 14 15 17 
10 12 13 14 15 18 
10 12 13 14 16 17 
10 12 13 14 16 18 
10 12 13 14 17 18 
10 12 13 15 16 17 
10 12 13 15 16 18 
10 12 13 15 17 18 
10 12 13 16 17 18 
10 12 14 15 16 17 
10 12 14 15 16 18 
10 12 14 15 17 18 
10 12 14 16 17 18 
10 12 15 16 17 18 
10 13 14 15 16 17 
10 13 14 15 16 18 
10 13 14 15 17 18 
10 13 14 16 17 18 
10 13 15 16 17 18 
10 14 15 16 17 18 
11 12 13 14 15 16 
11 12 13 14 15 17 
11 12 13 14 15 18 
11 12 13 14 16 17 
11 12 13 14 16 18 
11 12 13 14 17 18 
11 12 13 15 16 17 
11 12 13 15 16 18 
11 12 13 15 17 18 
11 12 13 16 17 18 
11 12 14 15 16 17 
11 12 14 15 16 18 
11 12 14 15 17 18 
11 12 14 16 17 18 
11 12 15 16 17 18 
11 13 14 15 16 17 
11 13 14 15 16 18 
11 13 14 15 17 18 
11 13 14 16 17 18 
11 13 15 16 17 18 
11 14 15 16 17 18 
12 13 14 15 16 17 
12 13 14 15 16 18 
12 13 14 15 17 18 
12 13 14 16 17 18 
12 13 15 16 17 18 
12 14 15 16 17 18 
13 14 15 16 17 18 
10 11 12 13 14 15 16 
10 11 12 13 14 15 17 
10 11 12 13 14 15 18 
10 11 12 13 14 16 17 
10 11 12 13 14 16 18 
10 11 12 13 14 17 18 
10 11 12 13 15 16 17 
10 11 12 13 15 16 18 
10 11 12 13 15 17 18 
10 11 12 13 16 17 18 
10 11 12 14 15 16 17 
10 11 12 14 15 16 18 
10 11 12 14 15 17 18 
10 11 12 14 16 17 18 
10 11 12 15 16 17 18 
10 11 13 14 15 16 17 
10 11 13 14 15 16 18 
10 11 13 14 15 17 18 
10 11 13 14 16 17 18 
10 11 13 15 16 17 18 
10 11 14 15 16 17 18 
10 12 13 14 15 16 17 
10 12 13 14 15 16 18 
10 12 13 14 15 17 18 
10 12 13 14 16 17 18 
10 12 13 15 16 17 18 
10 12 14 15 16 17 18 
10 13 14 15 16 17 18 
11 12 13 14 15 16 17 
11 12 13 14 15 16 18 
11 12 13 14 15 17 18 
11 12 13 14 16 17 18 
11 12 13 15 16 17 18 
11 12 14 15 16 17 18 
11 13 14 15 16 17 18 
12 13 14 15 16 17 18 
10 11 12 13 14 15 16 17 
10 11 12 13 14 15 16 18 
10 11 12 13 14 15 17 18 
10 11 12 13 14 16 17 18 
10 11 12 13 15 16 17 18 
10 11 12 14 15 16 17 18 
10 11 13 14 15 16 17 18 
10 12 13 14 15 16 17 18 
11 12 13 14 15 16 17 18 
10 11 12 13 14 15 16 17 18 
